,index,x_cord,y_cord,del_time
738,738,55,24,0.4611015319824219
739,739,56,28,0.4611015319824219
740,740,56,22,0.4611015319824219
741,741,54,22,0.4611015319824219
742,742,52,17,0.4611015319824219
743,743,54,26,0.4611015319824219
744,744,49,13,0.4611015319824219
745,745,25,60,0.4611015319824219
746,746,24,20,0.4611015319824219
747,747,44,27,0.4611015319824219
748,748,1,42,0.4611015319824219
749,749,24,25,0.4611015319824219
750,750,63,38,0.4611015319824219
751,751,47,13,0.4611015319824219
752,752,38,8,0.4611015319824219
753,753,38,10,0.4611015319824219
754,754,40,11,0.4611015319824219
755,755,52,15,0.4611015319824219
756,756,50,14,0.4611015319824219
757,757,53,23,0.4611015319824219
758,758,53,26,0.4611015319824219
759,759,56,26,0.4611015319824219
760,760,54,27,0.4611015319824219
761,761,52,27,0.4611015319824219
762,762,43,38,0.4611015319824219
763,763,38,43,0.4611015319824219
764,764,41,44,0.4611015319824219
765,765,39,44,0.4611015319824219
766,766,44,46,0.4611015319824219
767,767,55,24,0.4611015319824219
768,768,43,15,0.4611015319824219
769,769,40,17,0.4611015319824219
770,770,35,13,0.4611015319824219
771,771,35,12,0.4611015319824219
772,772,35,12,0.4611015319824219
773,773,40,12,0.4611015319824219
774,774,39,8,0.4611015319824219
775,775,38,44,0.4611015319824219
776,776,40,39,0.4611015319824219
777,777,38,39,0.4611015319824219
778,778,37,37,0.4611015319824219
779,779,30,42,0.4611015319824219
780,780,52,20,0.4611015319824219
781,781,53,14,0.4611015319824219
782,782,52,21,0.4611015319824219
783,783,54,31,0.4611015319824219
784,784,56,25,0.4611015319824219
785,785,56,27,0.4611015319824219
786,786,52,24,0.4611015319824219
787,787,46,18,0.4611015319824219
788,788,43,16,0.4611015319824219
789,789,43,16,0.4611015319824219
790,790,42,16,0.4611015319824219
791,791,43,15,0.4611015319824219
792,792,43,17,0.4611015319824219
793,793,44,17,0.4611015319824219
794,794,54,21,0.4611015319824219
795,795,55,20,0.4611015319824219
796,796,53,21,0.4611015319824219
797,797,53,20,0.4611015319824219
798,798,23,26,0.4611015319824219
799,799,23,26,0.4611015319824219
800,800,41,42,0.4611015319824219
801,801,42,44,0.4611015319824219
802,802,41,46,0.4611015319824219
803,803,42,34,0.4611015319824219
804,804,55,23,0.4611015319824219
805,805,40,12,0.4611015319824219
806,806,43,9,0.4611015319824219
807,807,42,11,0.4611015319824219
808,808,40,11,0.4611015319824219
809,809,45,14,0.4611015319824219
810,810,53,18,0.4611015319824219
811,811,54,19,0.4611015319824219
812,812,54,23,0.4611015319824219
813,813,53,21,0.4611015319824219
814,814,44,13,0.4611015319824219
815,815,41,16,0.4611015319824219
816,816,45,15,0.4611015319824219
817,817,49,18,0.4611015319824219
818,818,49,19,0.4611015319824219
819,819,54,21,0.4611015319824219
